170056.06431041152,2544363.7291479907	120.220176309258,22.9988082422967
170054.32894271435,2544363.8497415925	120.220159376338,22.9988092479078
170052.7898666422,2544364.0249737566	120.2201443552,22.9988107563245
170051.27645381753,2544364.1817851467	120.220129585335,22.9988120996344
170049.9705397184,2544363.9429385923	120.220116859924,22.9988098801576
170048.59959326242,2544364.387193668	120.220103464755,22.9988138258942

170057.11170755164,2544358.770636628	120.220186782708,22.9987635177436
170055.79235085822,2544358.5864814264	120.220173923346,22.9987617914832
170053.92630005343,2544358.896818009	120.220155705915,22.9987645041781
170051.95024240465,2544359.1804296416	120.220136416871,22.9987669702643
170050.52378364844,2544359.515738962	120.220122485895,22.9987699295677
170049.14818886347,2544359.086091345	120.220109090726,22.9987659838298


170056.6222035017,2544357.1073154397	120.220182094399,22.9987484746165
170055.52402237878,2544357.1950863865	120.220171378264,22.9987492144424
170053.96168864754,2544357.804220385	120.220156107771,22.9987546398327
170052.1197626333,2544357.486293462	120.220138158244,22.9987516805289
170050.60989074182,2544357.63087477	120.220123423557,22.9987529135722
170049.37510881032,2544357.8559238575	120.220111367905,22.9987548864413
